Category,Subcategory,Product Title,Price,Rating,Reviews,Product URL
Electronics,KEYBOARD,"Dell KB216 Wired Multimedia Keyboard - Full-Size Layout with USB Interface, Chiclet Keys, Spill Resistance with 3 Indicator Lights| Plug and Play| Hot Keys: Volume, Mute, Play/Pause, Backward, Forward",569,4.3,3,https://www.amazon.in/Dell-KB216-Wired-Multimedia-Keyboard/dp/B00ZYLMQH0/ref=sr_1_4
Electronics,KEYBOARD,"EvoFox Fireblade TKL Semi-Mechanical Gaming Keyboard with Rainbow Backlit& Breathing Effect, Floating Keycaps, 19 Anti-Ghosting & 12 Multimedia Keys, Windows Lock Key, Braided Cable (Black)",799,4.0,1,https://www.amazon.in/AMKETTE-Amkette-Fireblade-Keyboard-Anti-Ghosting/dp/B085366TJW/ref=sr_1_5
Electronics,KEYBOARD,"Zebronics K24 Wired USB Keyboard, 104 Keys, Long Life 8 Million Keystrokes, Silent & Comfortable Use, Slim Design, Retractable Stand, 1.5 Meter Textured Cable, UV Coated keycaps",349,3.7,1,https://www.amazon.in/Zebronics-Keyboard-keystrokes-Comfortable-Retractable/dp/B0B29G5SSW/ref=sr_1_6
Electronics,KEYBOARD,HP K120 Wired Keyboard/3 Years RTB Warranty,599,4.0,4,https://www.amazon.in/HP-AB3C9AA-K120-Wired-Keyboard/dp/B0DXPHG886/ref=sr_1_7
Electronics,KEYBOARD,"FRONTECH Wired Mini Keyboard | Membrane Keys with Retractable Stands | USB Plug & Play | Ergonomic & Comfortable Design | 1 Year Warranty (KB-0041, Black)",299,3.9,500,https://www.amazon.in/FRONTECH-Retractable-Ergonomic-Comfortable-KB-0041/dp/B0CTMTKQWT/ref=sr_1_8
Electronics,KEYBOARD,"Ant Esports MK700 V2 Membrane TKL Wired Gaming Keyboard, 87 UV Coated Mechanical feel Keys Cool RGB Backlight Waterproof Keyboard for PC Laptop Mobile Tablets Gaming, Design and Work Mercury White",679,4.1,1,https://www.amazon.in/Ant-Esports-MK700-V2-Mechanical/dp/B0DFCW1ZNL/ref=sr_1_9
Electronics,KEYBOARD,"Keychron K10 Max Wireless Custom Mechanical Keyboard, 100% Layout QMK 2.4 GHz Bluetooth Wired White Backlit PBT Keycaps 108 Keys Compatible with Mac Windows Linux",27957,4.6,,https://www.amazon.in/Keychron-Wireless-Mechanical-Bluetooth-Compatible/dp/B0D62YM3J5/ref=sr_1_10
Electronics,KEYBOARD,"EvoFox Katana X2 TKL Mechanical Gaming Keyboard | 3‑Pin Replaceable Clicky Blue Switches, Dynamic Backlighting, All Keys Anti‑Ghosting, Volume Knob, Copilot, Xbox Gamebar, Screenshot & More (Black)",1649,4.2,1,https://www.amazon.in/EvoFox-Backlighting-Replaceable-Anti-Ghosting-Multifunction/dp/B0DDV1GWP7/ref=sr_1_13
Electronics,KEYBOARD,Build Your Dream Mechanical Keyboard: Customizable DIY Kit with Hot-Swappable Switches,,,,https://www.amazon.in/Lancemates-Build-Dream-Mechanical-Keyboard/dp/B0FN3Y217M/ref=sr_1_14
Electronics,KEYBOARD,"Logitech MK215 Wireless Keyboard and Mouse Combo, 2.4 GHz Wireless, 3 Years Warranty, Compact Design, 2-Year Battery Life(Keyboard),5 Month Battery Life(Mouse) PC/Laptop- Black",1169,4.0,4,https://www.amazon.in/Logitech-MK215-Wireless-Keyboard-Mouse/dp/B012MQS060/ref=sr_1_15
Electronics,KEYBOARD,Kreo Hive 65 RGB Anti-ghosting Gaming Keyboard | Wired Mechanical Keyboard with RGB Backlight | 5 Pin Hot-Swap | Detachable USB C Cable (Black),2899,4.5,500,https://www.amazon.in/Kreo-Anti-ghosting-Mechanical-Backlight-Detachable/dp/B0F4K8KZS8/ref=sr_1_16
Electronics,KEYBOARD,"Amkette New and Improved Optimus BT 4 in 1 Multi Device Wireless Keyboard/Bluetooth Keyboard | One Click Device Switching and AI Access for Windows, MacOs, Android and iOS, Dual OS Layout (Black)",879,3.9,400,https://www.amazon.in/Amkette-Wireless-Bluetooth-Connectivity-Multimedia/dp/B0D6G1TVWL/ref=sr_1_17
Electronics,KEYBOARD,"Ant Esports MK 1700 Wired Membrane Gaming Keyboard –with Backlit RGB LED, USB-A Connection, Quiet Keystrokes, 12 Multimedia Function Keys - for Computer, PC, Desktop, Gamer– 1 Year Warranty–Mercury",619,3.9,500,https://www.amazon.in/Ant-Esports-Connection-Keystrokes-Multimedia/dp/B0CLJHP3RF/ref=sr_1_18
Electronics,KEYBOARD,"Amkette New and Improved Optimus BT 4 in 1 Multi Device Wireless Keyboard/Bluetooth Keyboard | One Click Device Switching and AI Access for Windows, MacOs, Android and iOS, Dual OS Layout (White)",879,3.9,500,https://www.amazon.in/Amkette-Optimus-Bluetooth-Switching-White/dp/B0F2HRXTNV/ref=sr_1_19
Electronics,KEYBOARD,"Zebronics Wired Keyboard with 104 Keys, 1.2m Cable, ₹ Key, USB Interface, UV-Coated Keys, Retractable Stand, USB Nano Receiver, for PC, Laptop(K65, Black)",299,4.0,100,https://www.amazon.in/Zebronics-Keyboard-Interface-UV-Coated-Retractable/dp/B0FPQYK3D7/ref=sr_1_20
Electronics,MOUSE,"Zebronics Zeb-Comfort Wired USB Mouse, 3-Button, 1000 DPI Optical Sensor, Plug & Play, for Windows/Mac, Black",109,3.9,5,https://www.amazon.in/ZEBRONICS-Zeb-Comfort-3-Button-Optical-Windows/dp/B079Y6JZC8/ref=sr_1_3
Electronics,MOUSE,"Portronics Toad 101 Wired Optical Mouse with 1200 DPI, Plug & Play, Hi-Optical Tracking, 1.25M Cable Length, 30Lakhs Click Life(Black)",119,4.1,4,https://www.amazon.in/Portronics-Optical-Hi-Optical-Tracking-Million/dp/B0BRKSQ7Z2/ref=sr_1_4
Electronics,MOUSE,"Dell MS116 Wired Optical Mouse - High Precision 1000DPI Sensor, USB Connectivity, Ergonomic Ambidextrous Design, Smooth Scrolling, Ideal for Office & Home Use - Black",309,4.4,5,https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=sr_1_5
